Time [s],Channel 2
-18.022193000,1
0.000000000,0
0.008944000,1
0.013375000,0
0.013942000,1
0.015607000,0
0.016174000,1
0.016699000,0
0.017269000,1
0.017789000,0
0.018359000,1
0.018895000,0
0.019465000,1
0.020003000,0
0.020573000,1
0.021094000,0
0.021667000,1
0.022184000,0
0.022755000,1
0.023275000,0
0.023847000,1
0.024366000,0
0.024937000,1
0.026578000,0
0.027151000,1
0.028791000,0
0.029362000,1
0.031005000,0
0.031578000,1
0.033219000,0
0.033793000,1
0.035431000,0
0.036005000,1
0.037644000,0
0.038217000,1
0.039858000,0
0.040432000,1
0.042086000,0
0.042662000,1
0.043196000,0
0.043797000,1
0.044287000,0
0.044886000,1
0.045378000,0
0.045978000,1
0.046483000,0
0.047084000,1
0.047591000,0
0.048194000,1
0.048681000,0
0.049256000,1
0.049771000,0
0.050373000,1
0.050880000,0
0.051479000,1
0.053107000,0
0.053710000,1
0.055338000,0
0.055941000,1
0.057567000,0
0.058143000,1
0.059795000,0
0.060373000,1
0.062026000,0
0.062602000,1
0.064255000,0
0.064831000,1
0.066468000,0
0.067041000,1
0.107765000,0
0.116650000,1
0.118950000,0
0.119493000,1
0.590031000,1
