Time [s],Channel 2
-20.101815000,1
-0.000000000,0
0.008918000,1
0.013378000,0
0.013982000,1
0.014487000,0
0.015089000,1
0.015578000,0
0.016180000,1
0.016683000,0
0.017287000,1
0.017791000,0
0.018392000,1
0.018899000,0
0.019500000,1
0.021126000,0
0.021730000,1
0.023355000,0
0.023958000,1
0.025568000,0
0.026172000,1
0.027781000,0
0.028386000,1
0.029995000,0
0.030599000,1
0.032209000,0
0.032811000,1
0.034421000,0
0.035025000,1
0.036635000,0
0.037239000,1
0.037743000,0
0.038344000,1
0.038852000,0
0.039427000,1
0.039941000,0
0.040514000,1
0.042152000,0
0.042755000,1
0.044381000,0
0.044958000,1
0.045489000,0
0.046064000,1
0.046597000,0
0.047173000,1
0.047688000,0
0.048261000,1
0.048794000,0
0.049368000,1
0.049900000,0
0.050474000,1
0.050991000,0
0.051565000,1
0.052098000,0
0.052672000,1
0.053205000,0
0.053777000,1
0.055431000,0
0.056007000,1
0.057659000,0
0.058263000,1
0.059889000,0
0.060467000,1
0.062119000,0
0.062696000,1
0.064348000,0
0.064924000,1
0.066563000,0
0.067140000,1
0.107858000,0
0.116742000,1
0.119041000,0
0.119618000,1
0.215401000,0
0.224313000,1
0.226600000,0
0.227143000,1
0.322960000,0
0.331872000,1
0.334160000,0
0.334703000,1
0.607561000,1
