Time [s],Channel 2
-16.506611000,1
0.000000000,0
0.008885000,1
0.013377000,0
0.013921000,1
0.014470000,0
0.015010000,1
0.015561000,0
0.016101000,1
0.016666000,0
0.017207000,1
0.017775000,0
0.018315000,1
0.018865000,0
0.019405000,1
0.021074000,0
0.021618000,1
0.023288000,0
0.023859000,1
0.024382000,0
0.024951000,1
0.026606000,0
0.027150000,1
0.028836000,0
0.029379000,1
0.031066000,0
0.031641000,1
0.033296000,0
0.033870000,1
0.035525000,0
0.036099000,1
0.036637000,0
0.037208000,1
0.037727000,0
0.038296000,1
0.039936000,0
0.040512000,1
0.042166000,0
0.042740000,1
0.044395000,0
0.044973000,1
0.045506000,0
0.046080000,1
0.046595000,0
0.047170000,1
0.047687000,0
0.048259000,1
0.048792000,0
0.049368000,1
0.049901000,0
0.050472000,1
0.050990000,0
0.051563000,1
0.052097000,0
0.052669000,1
0.053204000,0
0.053777000,1
0.055432000,0
0.056009000,1
0.057661000,0
0.058238000,1
0.059890000,0
0.060466000,1
0.062120000,0
0.062724000,1
0.064349000,0
0.064926000,1
0.066562000,0
0.067139000,1
0.107858000,0
0.116744000,1
0.119043000,0
0.119587000,1
0.532749000,1
