Time [s],Channel 2
-4.764512000,1
-0.000000000,0
0.008854000,1
0.013372000,0
0.013952000,1
0.014464000,0
0.015013000,1
0.015570000,0
0.016148000,1
0.017799000,0
0.018374000,1
0.018908000,0
0.019485000,1
0.019998000,0
0.020546000,1
0.021088000,0
0.021637000,1
0.022194000,0
0.022743000,1
0.023286000,0
0.023834000,1
0.025498000,0
0.026075000,1
0.027712000,0
0.028289000,1
0.028803000,0
0.029377000,1
0.031015000,0
0.031593000,1
0.033228000,0
0.033809000,1
0.035441000,0
0.036019000,1
0.037655000,0
0.038233000,1
0.039870000,0
0.040446000,1
0.040960000,0
0.041539000,1
0.042050000,0
0.042627000,1
0.043157000,0
0.043734000,1
0.045385000,0
0.045964000,1
0.046494000,0
0.047075000,1
0.047584000,0
0.048160000,1
0.048674000,0
0.049251000,1
0.049766000,0
0.050345000,1
0.051994000,0
0.052573000,1
0.054224000,0
0.054804000,1
0.056454000,0
0.057035000,1
0.057545000,0
0.058125000,1
0.059758000,0
0.060339000,1
0.061971000,0
0.062552000,1
0.064184000,0
0.064766000,1
0.066396000,0
0.066980000,1
0.107696000,0
0.116609000,1
0.118894000,0
0.119473000,1
0.215262000,0
0.224141000,1
0.226460000,0
0.227013000,1
0.609440000,1
