Time [s],Channel 2
-94.070963000,1
0.000000000,0
0.004025000,1
0.008017000,0
0.008481000,1
0.010471000,0
0.010933000,1
0.012927000,0
0.013389000,1
0.015395000,0
0.015858000,1
0.017865000,0
0.018328000,1
0.019359000,0
0.019820000,1
0.020865000,0
0.021327000,1
0.023319000,0
0.023780000,1
0.024811000,0
0.025274000,1
0.027263000,0
0.027725000,1
0.028754000,0
0.029217000,1
0.031210000,0
0.031673000,1
0.032718000,0
0.033180000,1
0.034208000,0
0.034671000,1
0.035699000,0
0.036160000,1
0.037193000,0
0.037653000,1
0.038699000,0
0.039162000,1
0.041153000,0
0.041616000,1
0.043608000,0
0.044070000,1
0.045098000,0
0.045560000,1
0.047551000,0
0.048014000,1
0.049045000,0
0.049507000,1
0.051498000,0
0.051961000,1
0.052991000,0
0.053453000,1
0.055442000,0
0.055906000,1
0.063589000,0
0.067612000,1
0.071611000,0
0.072075000,1
0.074067000,0
0.074530000,1
0.076520000,0
0.076983000,1
0.078974000,0
0.079435000,1
0.081445000,0
0.081908000,1
0.082937000,0
0.083399000,1
0.084428000,0
0.084890000,1
0.086883000,0
0.087346000,1
0.088373000,0
0.088836000,1
0.090826000,0
0.091290000,1
0.092321000,0
0.092782000,1
0.094773000,0
0.095237000,1
0.096281000,0
0.096744000,1
0.097772000,0
0.098234000,1
0.099266000,0
0.099727000,1
0.100755000,0
0.101216000,1
0.102264000,0
0.102727000,1
0.104717000,0
0.105181000,1
0.107171000,0
0.107634000,1
0.108664000,0
0.109126000,1
0.111118000,0
0.111580000,1
0.112624000,0
0.113088000,1
0.115077000,0
0.115541000,1
0.116572000,0
0.117033000,1
0.119038000,0
0.119502000,1
0.127189000,0
0.131212000,1
0.135209000,0
0.135672000,1
0.137662000,0
0.138126000,1
0.140116000,0
0.140579000,1
0.142570000,0
0.143034000,1
0.145040000,0
0.145504000,1
0.146532000,0
0.146994000,1
0.148025000,0
0.148485000,1
0.150476000,0
0.150941000,1
0.151968000,0
0.152430000,1
0.154422000,0
0.154885000,1
0.155915000,0
0.156377000,1
0.158368000,0
0.158831000,1
0.159876000,0
0.160338000,1
0.161369000,0
0.161830000,1
0.162859000,0
0.163321000,1
0.164352000,0
0.164813000,1
0.165859000,0
0.166322000,1
0.168328000,0
0.168790000,1
0.170781000,0
0.171245000,1
0.172274000,0
0.172737000,1
0.174728000,0
0.175191000,1
0.176219000,0
0.176681000,1
0.178674000,0
0.179137000,1
0.180165000,0
0.180628000,1
0.182620000,0
0.183082000,1
0.190766000,0
0.194788000,1
0.198786000,0
0.199249000,1
0.201256000,0
0.201719000,1
0.203710000,0
0.204174000,1
0.206164000,0
0.206627000,1
0.208634000,0
0.209097000,1
0.210126000,0
0.210586000,1
0.211618000,0
0.212081000,1
0.214072000,0
0.214535000,1
0.215564000,0
0.216027000,1
0.218018000,0
0.218481000,1
0.219526000,0
0.219988000,1
0.221978000,0
0.222442000,1
0.223487000,0
0.223950000,1
0.224979000,0
0.225442000,1
0.226470000,0
0.226931000,1
0.227960000,0
0.228423000,1
0.229470000,0
0.229932000,1
0.231922000,0
0.232383000,1
0.234377000,0
0.234841000,1
0.235869000,0
0.236331000,1
0.238321000,0
0.238785000,1
0.239814000,0
0.240277000,1
0.242268000,0
0.242731000,1
0.243760000,0
0.244221000,1
0.246213000,0
0.246677000,1
0.563021000,1
