Time [s],Channel 2
-19.918893000,1
0.000000000,0
0.000361000,1
0.002211000,0
0.002547000,1
0.005309000,0
0.005670000,1
0.007521000,0
0.007856000,1
0.010617000,0
0.010953000,1
0.013713000,0
0.014074000,1
0.015927000,0
0.016262000,1
0.045264000,0
0.045625000,1
0.047474000,0
0.047809000,1
0.050569000,0
0.050931000,1
0.052784000,0
0.053119000,1
0.055878000,0
0.056214000,1
0.058974000,0
0.059335000,1
0.061188000,0
0.061523000,1
0.090521000,0
0.090883000,1
0.092737000,0
0.093071000,1
0.095829000,0
0.096192000,1
0.098044000,0
0.098379000,1
0.101138000,0
0.101474000,1
0.104251000,0
0.104612000,1
0.106480000,0
0.106815000,1
0.135821000,0
0.136182000,1
0.138031000,0
0.138366000,1
0.141127000,0
0.141488000,1
0.143339000,0
0.143675000,1
0.146437000,0
0.146773000,1
0.149530000,0
0.149891000,1
0.151744000,0
0.152078000,1
0.528339000,1
