Time [s],Channel 2
-24.227708000,1
-0.000000000,0
0.004503000,1
0.008990000,0
0.009567000,1
0.011205000,0
0.011779000,1
0.013418000,0
0.013994000,1
0.015648000,0
0.016221000,1
0.016756000,0
0.017328000,1
0.017865000,0
0.018405000,1
0.018955000,0
0.019495000,1
0.020061000,0
0.020601000,1
0.021152000,0
0.021692000,1
0.023362000,0
0.023934000,1
0.025575000,0
0.026118000,1
0.027788000,0
0.028362000,1
0.028881000,0
0.029420000,1
0.029987000,0
0.030527000,1
0.031095000,0
0.031635000,1
0.032186000,0
0.032725000,1
0.033276000,0
0.033815000,1
0.034383000,0
0.034923000,1
0.036610000,0
0.037182000,1
0.037703000,0
0.038242000,1
0.038807000,0
0.039348000,1
0.039914000,0
0.040454000,1
0.041023000,0
0.041563000,1
0.042113000,0
0.042652000,1
0.043202000,0
0.043741000,1
0.045431000,0
0.045972000,1
0.046524000,0
0.047063000,1
0.048735000,0
0.049276000,1
0.050947000,0
0.051490000,1
0.053160000,0
0.053732000,1
0.055373000,0
0.055916000,1
0.057587000,0
0.058130000,1
0.059799000,0
0.060342000,1
0.107731000,0
0.112231000,1
0.116717000,0
0.117291000,1
0.118948000,0
0.119491000,1
0.121177000,0
0.121720000,1
0.123406000,0
0.123949000,1
0.124517000,0
0.125057000,1
0.125608000,0
0.126148000,1
0.126713000,0
0.127253000,1
0.127820000,0
0.128360000,1
0.128912000,0
0.129451000,1
0.131122000,0
0.131665000,1
0.133334000,0
0.133878000,1
0.135548000,0
0.136091000,1
0.136656000,0
0.137198000,1
0.137766000,0
0.138305000,1
0.138855000,0
0.139395000,1
0.139945000,0
0.140485000,1
0.141037000,0
0.141576000,1
0.142127000,0
0.142667000,1
0.144335000,0
0.144880000,1
0.145445000,0
0.145986000,1
0.146551000,0
0.147092000,1
0.147660000,0
0.148200000,1
0.148750000,0
0.149290000,1
0.149856000,0
0.150397000,1
0.150948000,0
0.151488000,1
0.153158000,0
0.153700000,1
0.154251000,0
0.154790000,1
0.156462000,0
0.157004000,1
0.158674000,0
0.159216000,1
0.160886000,0
0.161430000,1
0.163099000,0
0.163642000,1
0.165313000,0
0.165855000,1
0.167523000,0
0.168067000,1
0.544900000,1
