Time [s],Channel 2
-20.569648000,1
0.000000000,0
0.002366000,1
0.002966000,0
0.004150000,1
0.004748000,0
0.005331000,1
0.005934000,0
0.007118000,1
0.007731000,0
0.008314000,1
0.008901000,0
0.010086000,1
0.010697000,0
0.011279000,1
0.011869000,0
0.012452000,1
0.013054000,0
0.014239000,1
0.014852000,0
0.015435000,1
0.016038000,0
0.016621000,1
0.017226000,0
0.017809000,1
0.018412000,0
0.018995000,1
0.044513000,0
0.046879000,1
0.047477000,0
0.048661000,1
0.049272000,0
0.049855000,1
0.050444000,0
0.051628000,1
0.052240000,0
0.052823000,1
0.053428000,0
0.054612000,1
0.055208000,0
0.055790000,1
0.056393000,0
0.056976000,1
0.057581000,0
0.058766000,1
0.059378000,0
0.059960000,1
0.060549000,0
0.061132000,1
0.061736000,0
0.062319000,1
0.062908000,0
0.063490000,1
0.089008000,0
0.091374000,1
0.091971000,0
0.093156000,1
0.093751000,0
0.094334000,1
0.094937000,0
0.096121000,1
0.096735000,0
0.097317000,1
0.097905000,0
0.099088000,1
0.099700000,0
0.100283000,1
0.100872000,0
0.101455000,1
0.102058000,0
0.103242000,1
0.103839000,0
0.104422000,1
0.105025000,0
0.105608000,1
0.106197000,0
0.106779000,1
0.107383000,0
0.107965000,1
0.133482000,0
0.135848000,1
0.136461000,0
0.137646000,1
0.138259000,0
0.138842000,1
0.139430000,0
0.140614000,1
0.141225000,0
0.141808000,1
0.142397000,0
0.143581000,1
0.144176000,0
0.144760000,1
0.145365000,0
0.145948000,1
0.146551000,0
0.147735000,1
0.148346000,0
0.148929000,1
0.149518000,0
0.150101000,1
0.150704000,0
0.151287000,1
0.151876000,0
0.152459000,1
0.532944000,1
