Time [s],Channel 2
-13.289948000,1
0.000000000,0
0.000868000,1
0.001686000,0
0.002551000,1
0.003370000,0
0.005063000,1
0.005919000,0
0.006758000,1
0.007603000,0
0.008442000,1
0.009287000,0
0.010125000,1
0.010972000,0
0.011810000,1
0.012673000,0
0.013510000,1
0.014355000,0
0.015194000,1
0.016856000,0
0.017722000,1
0.018541000,0
0.020234000,1
0.021091000,0
0.021930000,1
0.113735000,0
0.114605000,1
0.115423000,0
0.116289000,1
0.117107000,0
0.118801000,1
0.119658000,0
0.120497000,1
0.121342000,0
0.122180000,1
0.123026000,0
0.123864000,1
0.124710000,0
0.125549000,1
0.126409000,0
0.127247000,1
0.128094000,0
0.128934000,1
0.130594000,0
0.131462000,1
0.132280000,0
0.133974000,1
0.134831000,0
0.135670000,1
0.227465000,0
0.228363000,1
0.229153000,0
0.230019000,1
0.230835000,0
0.232528000,1
0.233385000,0
0.234224000,1
0.235069000,0
0.235907000,1
0.236754000,0
0.237593000,1
0.238439000,0
0.239277000,1
0.240122000,0
0.240959000,1
0.241804000,0
0.242643000,1
0.244306000,0
0.245173000,1
0.245991000,0
0.247685000,1
0.248539000,0
0.249377000,1
0.603684000,1
