Time [s],Channel 2
-49.670199000,1
-0.000000000,0
0.008885000,1
0.013381000,0
0.013925000,1
0.014492000,0
0.015032000,1
0.015600000,0
0.016140000,1
0.016691000,0
0.017230000,1
0.018900000,0
0.019443000,1
0.019994000,0
0.020533000,1
0.022204000,0
0.022747000,1
0.023313000,0
0.023853000,1
0.024405000,0
0.024945000,1
0.026615000,0
0.027158000,1
0.028827000,0
0.029371000,1
0.031042000,0
0.031585000,1
0.032136000,0
0.032675000,1
0.034362000,0
0.034904000,1
0.035471000,0
0.036011000,1
0.037697000,0
0.038240000,1
0.039911000,0
0.040455000,1
0.042125000,0
0.042668000,1
0.044338000,0
0.044882000,1
0.045433000,0
0.045972000,1
0.047641000,0
0.048185000,1
0.048752000,0
0.049292000,1
0.049860000,0
0.050399000,1
0.050951000,0
0.051490000,1
0.052040000,0
0.052579000,1
0.053148000,0
0.053688000,1
0.054239000,0
0.054778000,1
0.056450000,0
0.056991000,1
0.057543000,0
0.058082000,1
0.059752000,0
0.060296000,1
0.061966000,0
0.062509000,1
0.064180000,0
0.064723000,1
0.066394000,0
0.066937000,1
0.107692000,0
0.116577000,1
0.118860000,0
0.119404000,1
0.215230000,0
0.224115000,1
0.226400000,0
0.226942000,1
0.530377000,1
