Time [s],Channel 2
-13.954214000,1
0.000000000,0
0.003504000,1
0.005246000,0
0.005665000,1
0.006100000,0
0.006514000,1
0.007844000,0
0.008262000,1
0.008698000,0
0.009112000,1
0.009563000,0
0.009977000,1
0.010414000,0
0.010828000,1
0.011279000,0
0.011694000,1
0.012130000,0
0.012544000,1
0.012981000,0
0.013395000,1
0.013846000,0
0.014259000,1
0.014696000,0
0.015110000,1
0.015561000,0
0.015975000,1
0.016413000,0
0.016826000,1
0.017278000,0
0.017692000,1
0.019024000,0
0.019441000,1
0.019876000,0
0.020290000,1
0.020727000,0
0.021140000,1
0.021591000,0
0.022005000,1
0.022443000,0
0.022856000,1
0.023307000,0
0.023721000,1
0.024159000,0
0.024573000,1
0.025899000,0
0.026320000,1
0.026773000,0
0.027187000,1
0.027623000,0
0.028036000,1
0.029351000,0
0.029770000,1
0.030220000,0
0.030635000,1
0.031072000,0
0.031485000,1
0.031936000,0
0.032350000,1
0.032787000,0
0.033201000,1
0.033653000,0
0.034066000,1
0.034504000,0
0.034918000,1
0.035369000,0
0.035782000,1
0.036219000,0
0.036633000,1
0.037961000,0
0.038380000,1
0.038817000,0
0.039232000,1
0.040544000,0
0.040963000,1
0.042292000,0
0.042712000,1
0.044042000,0
0.044461000,1
0.045773000,0
0.046193000,1
0.046643000,0
0.047057000,1
0.047494000,0
0.047908000,1
0.049239000,0
0.049658000,1
0.050092000,0
0.050506000,1
0.051837000,0
0.052254000,1
0.053585000,0
0.054004000,1
0.054439000,0
0.054854000,1
0.056182000,0
0.056601000,1
0.057038000,0
0.057451000,1
0.058765000,0
0.059183000,1
0.132276000,0
0.135779000,1
0.137546000,0
0.137966000,1
0.138404000,0
0.138817000,1
0.140147000,0
0.140565000,1
0.141019000,0
0.141432000,1
0.141884000,0
0.142297000,1
0.142750000,0
0.143165000,1
0.143615000,0
0.144030000,1
0.144483000,0
0.144896000,1
0.145333000,0
0.145747000,1
0.146182000,0
0.146596000,1
0.147049000,0
0.147463000,1
0.147899000,0
0.148312000,1
0.148765000,0
0.149179000,1
0.149615000,0
0.150028000,1
0.151359000,0
0.151776000,1
0.152213000,0
0.152627000,1
0.153063000,0
0.153477000,1
0.153929000,0
0.154342000,1
0.154796000,0
0.155209000,1
0.155661000,0
