Time [s],Channel 2
-27.065067000,1
-0.000000000,0
0.008912000,1
0.013393000,0
0.013938000,1
0.014506000,0
0.015046000,1
0.015597000,0
0.016137000,1
0.016687000,0
0.017227000,1
0.018897000,0
0.019440000,1
0.021127000,0
0.021670000,1
0.022236000,0
0.022776000,1
0.023345000,0
0.023884000,1
0.024434000,0
0.024974000,1
0.026660000,0
0.027203000,1
0.028890000,0
0.029433000,1
0.031119000,0
0.031663000,1
0.032231000,0
0.032770000,1
0.033322000,0
0.033860000,1
0.035531000,0
0.036074000,1
0.037745000,0
0.038287000,1
0.039957000,0
0.040500000,1
0.041068000,0
0.041607000,1
0.042175000,0
0.042715000,1
0.043266000,0
0.043805000,1
0.045475000,0
0.046018000,1
0.046585000,0
0.047125000,1
0.047692000,0
0.048231000,1
0.048799000,0
0.049339000,1
0.049889000,0
0.050429000,1
0.052115000,0
0.052658000,1
0.054344000,0
0.054887000,1
0.056575000,0
0.057117000,1
0.057683000,0
0.058223000,1
0.059910000,0
0.060453000,1
0.062141000,0
0.062683000,1
0.064368000,0
0.064912000,1
0.066584000,0
0.067127000,1
0.107881000,0
0.116767000,1
0.119067000,0
0.119610000,1
0.591125000,1
