Time [s],Channel 2
-31.125551000,1
0.000000000,0
0.008911000,1
0.013402000,0
0.013977000,1
0.015632000,0
0.016206000,1
0.016740000,0
0.017280000,1
0.017850000,0
0.018388000,1
0.018940000,0
0.019478000,1
0.021149000,0
0.021722000,1
0.023362000,0
0.023936000,1
0.025575000,0
0.026150000,1
0.026669000,0
0.027239000,1
0.027759000,0
0.028331000,1
0.029970000,0
0.030544000,1
0.032184000,0
0.032756000,1
0.034396000,0
0.034970000,1
0.035490000,0
0.036061000,1
0.036596000,0
0.037167000,1
0.037703000,0
0.038242000,1
0.039913000,0
0.040486000,1
0.041006000,0
0.041576000,1
0.043232000,0
0.043807000,1
0.044342000,0
0.044882000,1
0.046568000,0
0.047144000,1
0.047679000,0
0.048220000,1
0.048770000,0
0.049338000,1
0.050980000,0
0.051522000,1
0.052072000,0
0.052643000,1
0.054299000,0
0.054874000,1
0.055394000,0
0.055934000,1
0.057605000,0
0.058179000,1
0.058697000,0
0.059268000,1
0.060908000,0
0.061481000,1
0.063121000,0
0.063696000,1
0.064231000,0
0.064801000,1
0.066442000,0
0.067016000,1
0.107700000,0
0.116611000,1
0.121099000,0
0.121677000,1
0.123327000,0
0.123905000,1
0.124438000,0
0.125008000,1
0.125546000,0
0.126086000,1
0.126637000,0
0.127176000,1
0.128847000,0
0.129421000,1
0.131059000,0
0.131636000,1
0.133273000,0
0.133849000,1
0.134367000,0
0.134939000,1
0.135458000,0
0.135997000,1
0.137668000,0
0.138244000,1
0.139881000,0
0.140455000,1
0.142093000,0
0.142670000,1
0.143188000,0
0.143759000,1
0.144293000,0
0.144833000,1
0.145400000,0
0.145940000,1
0.147612000,0
0.148185000,1
0.148704000,0
0.149276000,1
0.150931000,0
0.151506000,1
0.152039000,0
0.152580000,1
0.154267000,0
0.154840000,1
0.155377000,0
0.155949000,1
0.156467000,0
0.157007000,1
0.158677000,0
0.159251000,1
0.159769000,0
0.160310000,1
0.161997000,0
0.162572000,1
0.163091000,0
0.163631000,1
0.165302000,0
0.165877000,1
0.166395000,0
0.166966000,1
0.168606000,0
0.169179000,1
0.170818000,0
0.171361000,1
0.171927000,0
0.172498000,1
0.174140000,0
0.174713000,1
0.593873000,1
