Time [s],Channel 2
-20.978476000,1
0.000000000,0
0.008911000,1
0.013411000,0
0.013986000,1
0.014523000,0
0.015063000,1
0.015614000,0
0.016183000,1
0.017823000,0
0.018399000,1
0.020037000,0
0.020614000,1
0.022250000,0
0.022825000,1
0.023343000,0
0.023914000,1
0.024449000,0
0.025022000,1
0.025542000,0
0.026113000,1
0.027751000,0
0.028326000,1
0.028860000,0
0.029431000,1
0.029965000,0
0.030537000,1
0.031075000,0
0.031614000,1
0.032180000,0
0.032752000,1
0.034391000,0
0.034967000,1
0.036604000,0
0.037179000,1
0.037713000,0
0.038285000,1
0.038819000,0
0.039394000,1
0.039912000,0
0.040481000,1
0.042121000,0
0.042699000,1
0.044335000,0
0.044911000,1
0.046547000,0
0.047150000,1
0.047656000,0
0.048232000,1
0.049882000,0
0.050484000,1
0.052112000,0
0.052715000,1
0.054342000,0
0.054946000,1
0.056572000,0
0.057176000,1
0.057665000,0
0.058268000,1
0.059876000,0
0.060479000,1
0.060968000,0
0.061570000,1
0.062074000,0
0.062674000,1
0.064301000,0
0.064904000,1
0.065412000,0
0.065986000,1
0.066502000,0
0.067102000,1
0.067591000,0
0.068192000,1
0.069817000,0
0.070423000,1
0.070928000,0
0.071528000,1
0.073155000,0
0.073760000,1
0.075384000,0
0.075988000,1
0.076477000,0
0.077079000,1
0.078688000,0
0.079290000,1
0.080901000,0
0.081504000,1
0.083113000,0
0.083717000,1
0.106326000,0
0.115243000,1
0.119709000,0
0.120313000,1
0.517332000,1
