Time [s],Channel 2
-21.331768000,1
0.000000000,0
0.008885000,1
0.013380000,0
0.013957000,1
0.014491000,0
0.015032000,1
0.015598000,0
0.016138000,1
0.016707000,0
0.017246000,1
0.017796000,0
0.018366000,1
0.018903000,0
0.019474000,1
0.020008000,0
0.020577000,1
0.021116000,0
0.021687000,1
0.022206000,0
0.022777000,1
0.024432000,0
0.025007000,1
0.026661000,0
0.027236000,1
0.028891000,0
0.029468000,1
0.031121000,0
0.031696000,1
0.033350000,0
0.033927000,1
0.035580000,0
0.036153000,1
0.036689000,0
0.037229000,1
0.038901000,0
0.039475000,1
0.040010000,0
0.040582000,1
0.041117000,0
0.041656000,1
0.042224000,0
0.042764000,1
0.043315000,0
0.043883000,1
0.045523000,0
0.046096000,1
0.046634000,0
0.047173000,1
0.047740000,0
0.048280000,1
0.048832000,0
0.049372000,1
0.051042000,0
0.051584000,1
0.053254000,0
0.053828000,1
0.055469000,0
0.056042000,1
0.057681000,0
0.058224000,1
0.058791000,0
0.059331000,1
0.061016000,0
0.061560000,1
0.063246000,0
0.063789000,1
0.065460000,0
0.066003000,1
0.107876000,0
0.116759000,1
0.119042000,0
0.119586000,1
0.215396000,0
0.224281000,1
0.226564000,0
0.227107000,1
0.557256000,1
