Time [s],Channel 2
-27.528637000,1
-0.000000000,0
0.008917000,1
0.013381000,0
0.013986000,1
0.014475000,0
0.015075000,1
0.015581000,0
0.016180000,1
0.016688000,0
0.017287000,1
0.017779000,0
0.018380000,1
0.018870000,0
0.019470000,1
0.019975000,0
0.020574000,1
0.022201000,0
0.022805000,1
0.023295000,0
0.023896000,1
0.025506000,0
0.026109000,1
0.027719000,0
0.028296000,1
0.029933000,0
0.030538000,1
0.032146000,0
0.032749000,1
0.034361000,0
0.034962000,1
0.036573000,0
0.037175000,1
0.037667000,0
0.038268000,1
0.039878000,0
0.040482000,1
0.040971000,0
0.041546000,1
0.043181000,0
0.043784000,1
0.044274000,0
0.044875000,1
0.045380000,0
0.045954000,1
0.047606000,0
0.048211000,1
0.048718000,0
0.049292000,1
0.049807000,0
0.050382000,1
0.050896000,0
0.051470000,1
0.053123000,0
0.053700000,1
0.054234000,0
0.054809000,1
0.056460000,0
0.057036000,1
0.058689000,0
0.059264000,1
0.059782000,0
0.060323000,1
0.061993000,0
0.062535000,1
0.064206000,0
0.064749000,1
0.066419000,0
0.066961000,1
0.107710000,0
0.116619000,1
0.118906000,0
0.119449000,1
0.215253000,0
0.224164000,1
0.226451000,0
0.226994000,1
0.520771000,1
