Time [s],Channel 2
-19.796143000,1
0.000000000,0
0.002633000,1
0.003505000,0
0.003929000,1
0.004726000,0
0.005149000,1
0.005577000,0
0.005998000,1
0.006444000,0
0.007775000,1
0.009085000,0
0.009512000,1
0.009939000,0
0.010360000,1
0.010790000,0
0.011212000,1
0.011639000,0
0.012061000,1
0.012490000,0
0.012912000,1
0.013339000,0
0.013761000,1
0.014190000,0
0.014612000,1
0.015057000,0
0.015478000,1
0.015906000,0
0.016328000,1
0.016756000,0
0.017179000,1
0.017606000,0
0.018028000,1
0.018457000,0
0.019318000,1
0.019692000,0
0.020113000,1
0.020908000,0
0.021332000,1
0.021776000,0
0.022198000,1
0.105216000,0
0.107848000,1
0.108712000,0
0.109136000,1
0.109930000,0
0.110354000,1
0.110784000,0
0.111205000,1
0.111649000,0
0.112980000,1
0.114290000,0
0.114717000,1
0.115146000,0
0.115568000,1
0.115995000,0
0.116417000,1
0.116847000,0
0.117268000,1
0.117696000,0
0.118118000,1
0.118547000,0
0.118968000,1
0.119396000,0
0.119817000,1
0.120262000,0
0.120684000,1
0.121114000,0
0.121535000,1
0.121963000,0
0.122384000,1
0.122814000,0
0.123235000,1
0.123662000,0
0.124524000,1
0.124897000,0
0.125319000,1
0.126114000,0
0.126537000,1
0.126982000,0
0.127403000,1
0.520017000,1
