Time [s],Channel 2
-19.781151000,1
0.000000000,0
0.002632000,1
0.003492000,0
0.003919000,1
0.004712000,0
0.005136000,1
0.005567000,0
0.005987000,1
0.006415000,0
0.006837000,1
0.007759000,0
0.008653000,1
0.009077000,0
0.009498000,1
0.009928000,0
0.010350000,1
0.010777000,0
0.011199000,1
0.011628000,0
0.012050000,1
0.012478000,0
0.012898000,1
0.013329000,0
0.013750000,1
0.014177000,0
0.014600000,1
0.015028000,0
0.015450000,1
0.015879000,0
0.016300000,1
0.016728000,0
0.017150000,1
0.017579000,0
0.018000000,1
0.018429000,0
0.019292000,1
0.019662000,0
0.020084000,1
0.020880000,0
0.021305000,1
0.021749000,0
0.022171000,1
0.105179000,0
0.107811000,1
0.108673000,0
0.109099000,1
0.109893000,0
0.110317000,1
0.110747000,0
0.111168000,1
0.111596000,0
0.112017000,1
0.112940000,0
0.113834000,1
0.114259000,0
0.114681000,1
0.115108000,0
0.115530000,1
0.115959000,0
0.116381000,1
0.116808000,0
0.117229000,1
0.117659000,0
0.118081000,1
0.118508000,0
0.118930000,1
0.119359000,0
0.119780000,1
0.120225000,0
0.120647000,1
0.121074000,0
0.121496000,1
0.121926000,0
0.122347000,1
0.122774000,0
0.123196000,1
0.123625000,0
0.124486000,1
0.124858000,0
0.125280000,1
0.126076000,0
0.126500000,1
0.126944000,0
0.127366000,1
0.535009000,1
